"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
248;"Unai Gómez";"Athletic Club";26;930;1;1;2.07;0.61;0.2;0.06
265;"Maroan Sannadi";"Athletic Club";10;268;1;0;1.01;0.59;0.34;0.2
268;"Alejandro Rego";"Athletic Club";29;1231;1;1;0.53;0.8;0.04;0.06
272;"Urko Izeta";"Athletic Club";13;153;1;0;1.8;0.32;1.06;0.19
312;"Yuri";"Athletic Club";32;2708;0;6;0.61;4.85;0.02;0.16
320;"Íñigo Lekue";"Athletic Club";11;607;0;0;0.13;0.05;0.02;0.01
325;"Aymeric Laporte";"Athletic Club";25;2068;0;1;1.82;0.44;0.08;0.02
340;"Yeray Álvarez";"Athletic Club";7;517;0;0;0.13;0.11;0.02;0.02
342;"Mikel Vesga";"Athletic Club";23;402;0;0;0.22;0.12;0.05;0.03
346;"Unai Simón";"Athletic Club";37;3330;0;0;0;0.03;0;0
362;"Andoni Gorosabel";"Athletic Club";24;1347;0;1;0.22;1.29;0.01;0.09
419;"Beñat Prados";"Athletic Club";2;87;0;0;0.02;0.04;0.02;0.04
422;"Jesús Areso";"Athletic Club";26;1498;0;1;0.1;1.56;0.01;0.09
473;"Álex Padilla";"Athletic Club";1;90;0;0;0;0;0;0
485;"Adama Boiro";"Athletic Club";14;810;0;0;0.05;0.14;0.01;0.02
560;"Selton Sánchez";"Athletic Club";7;191;0;1;0.28;0.16;0.13;0.07
562;"Asier Hierro";"Athletic Club";1;30;0;0;0.09;0.02;0.26;0.06
566;"Eder García";"Athletic Club";2;30;0;0;0.04;0;0.11;0
11;"Alexander Sørloth";"Atletico Madrid";35;1955;13;0;13.93;1.22;0.64;0.06
35;"Julián Álvarez";"Atletico Madrid";29;1926;8;4;8.89;6.27;0.42;0.29
37;"Antoine Griezmann";"Atletico Madrid";34;1428;7;4;8.29;4.99;0.52;0.31
65;"Nicolás González";"Atletico Madrid";24;1480;5;0;5.67;1.72;0.34;0.1
75;"Ademola Lookman";"Atletico Madrid";12;638;4;0;4.46;1.69;0.63;0.24
82;"Giuliano Simeone";"Atletico Madrid";31;2153;4;6;6.1;5.53;0.26;0.23
109;"Thiago Almada";"Atletico Madrid";27;1327;3;1;3.56;2.79;0.24;0.19
116;"Koke";"Atletico Madrid";34;2237;2;2;0.96;3.44;0.04;0.14
132;"Álex Baena";"Atletico Madrid";27;1615;2;3;1.78;6.57;0.1;0.37
137;"Nahuel Molina";"Atletico Madrid";26;1292;2;2;0.4;3.01;0.03;0.21
138;"Conor Gallagher";"Atletico Madrid";19;630;2;0;1.27;0.5;0.18;0.07
208;"Robin Le Normand";"Atletico Madrid";28;1776;1;1;1.28;0.34;0.06;0.02
235;"Marc Pubill";"Atletico Madrid";19;1377;1;1;1.32;0.63;0.09;0.04
240;"Pablo Barrios Rivas";"Atletico Madrid";23;1672;1;1;1.47;1.7;0.08;0.09
281;"Javier Boñar";"Atletico Madrid";4;294;1;0;0.4;0.13;0.12;0.04
282;"Iker Luque";"Atletico Madrid";1;26;1;0;0.28;0;0.97;0
287;"Cubo";"Atletico Madrid";2;46;1;0;0.34;0;0.67;0
314;"Jan Oblak";"Atletico Madrid";30;2700;0;0;0;0;0;0
315;"Giménez";"Atletico Madrid";16;1165;0;1;1.54;0.5;0.12;0.04
327;"Marcos Llorente";"Atletico Madrid";29;2190;0;4;2.21;4.2;0.09;0.17
338;"Clement Lenglet";"Atletico Madrid";19;1402;0;1;0.3;0.39;0.02;0.03
367;"David Hancko";"Atletico Madrid";30;2443;0;2;1.64;2.15;0.06;0.08
368;"Juan Musso";"Atletico Madrid";8;720;0;0;0;0;0;0
375;"Giacomo Raspadori";"Atletico Madrid";12;203;0;1;0.88;0.95;0.39;0.42
408;"Matteo Ruggeri";"Atletico Madrid";26;1767;0;3;0.21;3.96;0.01;0.2
474;"Rayane Belaid";"Atletico Madrid";2;140;0;0;0.58;0.2;0.37;0.13
477;"Johnny Cardoso";"Atletico Madrid";15;905;0;0;0.04;0.34;0;0.03
546;"Jano Monserrate";"Atletico Madrid";2;14;0;0;0.03;0;0.21;0
553;"Taufik Seidu";"Atletico Madrid";1;15;0;0;0;0;0;0
569;"Aleksa Puric";"Atletico Madrid";2;40;0;0;0;0;0;0
571;"Dani Martinez";"Atletico Madrid";1;90;0;0;0;0;0;0
578;"Julio Díaz";"Atletico Madrid";4;322;0;1;0.03;0.57;0.01;0.16
590;"Obed Vargas";"Atletico Madrid";12;742;0;1;0.2;0.2;0.02;0.02
595;"Javier Morcillo";"Atletico Madrid";5;152;0;0;0.14;0.07;0.09;0.04
247;"Rodrigo Mendoza";"Atletico Madrid,Elche";24;1243;1;1;1.12;1.31;0.08;0.09
373;"Javi Galán";"Atletico Madrid,Osasuna";25;1806;0;1;0.2;1.94;0.01;0.1
4;"Ferrán Torres";"Barcelona";33;2025;16;2;16.18;3.16;0.72;0.14
6;"Lamine Yamal";"Barcelona";28;2291;16;11;14.66;12.57;0.58;0.49
8;"Robert Lewandowski";"Barcelona";31;1630;14;2;16.07;2.28;0.89;0.13
12;"Raphinha";"Barcelona";22;1424;13;3;11.13;5.91;0.7;0.37
31;"Marcus Rashford";"Barcelona";32;1739;8;7;8.7;4.96;0.45;0.26
40;"Dani Olmo";"Barcelona";33;2109;7;8;8.75;6.66;0.37;0.28
57;"Fermín López";"Barcelona";30;1780;6;9;7.52;7.65;0.38;0.39
102;"Ronald Araújo";"Barcelona";24;1049;3;0;2.3;0.6;0.2;0.05
117;"João Cancelo";"Barcelona";16;938;2;2;0.97;3.25;0.09;0.31
135;"Pedri";"Barcelona";29;2117;2;9;2.39;5.95;0.1;0.25
159;"Marc Bernal";"Barcelona";22;798;2;1;1.02;0.67;0.12;0.08
197;"Jules Koundé";"Barcelona";30;2247;1;3;2.2;4.64;0.09;0.19
212;"Frenkie de Jong";"Barcelona";25;1597;1;5;1.08;5.1;0.06;0.29
216;"Eric Garcia";"Barcelona";34;2761;1;1;3.34;1.97;0.11;0.06
253;"Pau Cubarsí";"Barcelona";31;2733;1;0;0.55;0.44;0.02;0.01
280;"Roony Bardghji";"Barcelona";21;612;1;1;1.75;1.91;0.26;0.28
288;"Andreas Christensen";"Barcelona";13;369;0;0;0.26;0.02;0.06;0
301;"Wojciech Szczesny";"Barcelona";8;720;0;0;0;0;0;0
423;"Joan García";"Barcelona";30;2700;0;0;0;0;0;0
425;"Gavi";"Barcelona";11;578;0;1;0;0.69;0;0.11
426;"Álex Balde";"Barcelona";28;1910;0;2;0.75;2.9;0.04;0.14
450;"Marc Casadó";"Barcelona";24;957;0;1;1.03;0.58;0.1;0.05
486;"Gerard Martín";"Barcelona";32;2145;0;0;0.3;0.76;0.01;0.03
501;"Toni Fernández";"Barcelona";1;48;0;0;0;0.09;0;0.17
504;"Álvaro Cortés";"Barcelona";1;90;0;0;0;0;0;0
529;"Jofre Torrents";"Barcelona";3;33;0;0;0;0;0;0
530;"Dro Fernández";"Barcelona";4;83;0;0;0;0.05;0;0.06
559;"Xavi Espart";"Barcelona";4;157;0;0;0.03;0;0.02;0
564;"Tomás Marqués";"Barcelona";2;5;0;0;0;0;0;0
9;"Borja Iglesias";"Celta Vigo";35;1903;14;2;11.61;1.66;0.55;0.08
27;"Ferrán Jutglà";"Celta Vigo";30;1702;9;3;6.6;1.55;0.35;0.08
62;"Iago Aspas";"Celta Vigo";32;1082;5;3;4.44;4.46;0.37;0.37
69;"Williot Swedberg";"Celta Vigo";29;1237;5;5;5.19;1.98;0.38;0.14
83;"Hugo Álvarez";"Celta Vigo";28;1359;4;2;2.27;2.45;0.15;0.16
131;"Sergio Carreira";"Celta Vigo";34;2695;2;1;1.9;1.64;0.06;0.05
140;"Ilaix Moriba";"Celta Vigo";36;2484;2;3;1.78;2.51;0.06;0.09
149;"Pablo Durán";"Celta Vigo";30;1451;2;2;4.31;2.15;0.27;0.13
157;"Javier Rueda";"Celta Vigo";26;1403;2;6;1.61;3.79;0.1;0.24
161;"Jones El Abdellaoui";"Celta Vigo";22;621;2;0;2.38;0.51;0.35;0.07
171;"Marcos Alonso";"Celta Vigo";32;2780;1;0;2.3;1.57;0.07;0.05
225;"Óscar Mingueza";"Celta Vigo";34;1949;1;4;0.5;4.1;0.02;0.19
234;"Bryan Zaragoza";"Celta Vigo";19;1138;1;1;1.91;2.26;0.15;0.18
262;"Fernando López";"Celta Vigo";17;1179;1;1;1.83;1.35;0.14;0.1
267;"Miguel Román";"Celta Vigo";19;1297;1;0;1.1;2.09;0.08;0.15
302;"Matías Vecino";"Celta Vigo";6;136;0;0;0.04;0;0.03;0
305;"Ionut Radu";"Celta Vigo";38;3420;0;0;0;0.14;0;0
350;"Mihailo Ristic";"Celta Vigo";5;266;0;0;0.02;0.07;0.01;0.02
381;"Carl Starfelt";"Celta Vigo";19;1492;0;0;0.39;0.08;0.02;0
382;"Joseph Aidoo";"Celta Vigo";8;640;0;0;0.35;0;0.05;0
420;"Carlos Domínguez";"Celta Vigo";8;602;0;0;0.49;0.03;0.07;0
421;"Hugo Sotelo";"Celta Vigo";20;1350;0;2;0.09;2.21;0.01;0.15
432;"Hugo Gonzalez";"Celta Vigo";1;4;0;0;0;0;0;0
441;"Damián Rodríguez";"Celta Vigo";2;155;0;0;0.07;0.12;0.04;0.07
471;"Javier Rodríguez";"Celta Vigo";33;2568;0;1;0.98;1.07;0.03;0.04
482;"Yoel Lago";"Celta Vigo";12;966;0;0;0.06;0.08;0.01;0.01
536;"Manuel Fernández";"Celta Vigo";14;768;0;0;0.04;0.03;0;0
582;"Hugo Burcio";"Celta Vigo";1;4;0;0;0;0;0;0
591;"Andrés Antañón";"Celta Vigo";2;64;0;0;0.32;0;0.45;0
540;"Álvaro Núñez";"Celta Vigo,Elche";25;2006;0;2;0.22;2.54;0.01;0.11
203;"Fran Beltrán";"Celta Vigo,Girona";27;1544;1;0;0.63;0.9;0.04;0.05
18;"André Silva";"Elche";31;1858;10;0;10.84;1.56;0.52;0.08
32;"Rafa Mir";"Elche";27;1834;8;0;8.26;1.71;0.41;0.08
44;"Alvaro Rodríguez";"Elche";34;2199;7;5;12.18;3.86;0.5;0.16
79;"German Valera";"Elche";36;2888;4;5;2.9;7.39;0.09;0.23
127;"Aleix Febas";"Elche";36;3178;2;2;2.18;2.1;0.06;0.06
153;"Hector Fort";"Elche";14;478;2;2;0.71;0.21;0.13;0.04
164;"Martim Neto";"Elche";25;1367;2;5;1.04;2.82;0.07;0.19
178;"Pedro Bigas";"Elche";28;2078;1;3;0.9;1.97;0.04;0.09
199;"Grady Diangana";"Elche";20;937;1;0;1.36;1.09;0.13;0.1
201;"Gonzalo Villar";"Elche";12;722;1;0;0.21;0.05;0.03;0.01
223;"Tete Morente";"Elche";13;940;1;1;0.75;1.31;0.07;0.13
224;"Victor Chust";"Elche";31;2146;1;0;0.43;0.15;0.02;0.01
226;"John Donald";"Elche";21;637;1;0;1.03;0.03;0.15;0
273;"David Affengruber";"Elche";36;2958;1;1;1.33;1.47;0.04;0.04
274;"Marc Aguado";"Elche";35;2539;1;2;0.22;0.57;0.01;0.02
279;"Adam El Mokhtari";"Elche";7;85;1;0;0.27;0.07;0.28;0.08
285;"Lucas Cepeda";"Elche";10;390;1;0;1.11;0.27;0.26;0.06
370;"Iñaki Peña";"Elche";16;1440;0;0;0;0.4;0;0.03
379;"Leo Petrot";"Elche";32;1572;0;0;0.5;0.03;0.03;0
409;"Josan";"Elche";19;525;0;3;0.28;2.92;0.05;0.5
411;"Mourad El Ghezouani";"Elche";2;42;0;0;0.11;0.03;0.24;0.06
412;"Jairo Izquierdo";"Elche";1;22;0;0;0;0;0;0
424;"Matías Dituro";"Elche";22;1980;0;0;0;0.11;0;0
460;"Yago Alonso";"Elche";9;275;0;0;0.15;0.08;0.05;0.03
489;"Buba Sangaré";"Elche";12;556;0;0;0.09;0;0.01;0
541;"Ali Houary";"Elche";2;133;0;0;0.06;0;0.04;0
542;"Federico Redondo";"Elche";11;158;0;0;0.07;0.01;0.04;0.01
543;"Bambo Diaby";"Elche";4;98;0;0;0;0;0;0
584;"Álex Sánchez";"Elche";1;5;0;1;0;0.08;0;1.44
206;"Adrià Pedrosa";"Elche,Sevilla";27;1053;1;1;0.96;1.57;0.08;0.13
33;"Kike García";"Espanyol";37;1694;8;1;10;2.66;0.53;0.14
38;"Pere Milla";"Espanyol";33;2005;7;1;7.65;4.1;0.34;0.18
46;"Roberto Fernández";"Espanyol";38;2388;7;3;9.3;3.16;0.35;0.12
56;"Carlos Romero";"Espanyol";36;3207;6;3;2.96;3.3;0.08;0.09
93;"Leandro Cabrera";"Espanyol";37;3330;3;0;3.65;1.09;0.1;0.03
125;"Javi Puado";"Espanyol";10;687;2;0;4.84;0.96;0.63;0.13
129;"Pol Lozano";"Espanyol";33;2211;2;1;0.72;1.31;0.03;0.05
163;"Tyrhys Dolan";"Espanyol";36;2481;2;5;2.76;4.42;0.1;0.16
188;"Edu Expósito";"Espanyol";36;2593;1;6;2.58;8.03;0.09;0.28
200;"Miguel Ángel Rubio";"Espanyol";12;168;1;0;0.6;0;0.32;0
237;"Jofre Carreras";"Espanyol";26;890;1;0;2.15;1.43;0.22;0.14
243;"Charles Pickel";"Espanyol";24;658;1;0;0.78;0.04;0.11;0
244;"Ramón Terrats";"Espanyol";29;1020;1;2;1.19;2.37;0.1;0.21
356;"Marko Dmitrovic";"Espanyol";37;3330;0;0;0;0.03;0;0
365;"Fernando Calero";"Espanyol";28;2159;0;0;2;0.55;0.08;0.02
410;"José Salinas";"Espanyol";11;232;0;0;0.09;0.13;0.04;0.05
431;"Rubén Sánchez";"Espanyol";21;774;0;1;0.18;1.11;0.02;0.13
442;"Luca Koleosho";"Espanyol";3;48;0;0;0.02;0.02;0.05;0.04
444;"Ángel Fortuño";"Espanyol";1;90;0;0;0;0;0;0
445;"Omar El Hilali";"Espanyol";36;2853;0;2;0.01;1.69;0;0.05
453;"Cyril Ngonge";"Espanyol";9;441;0;2;0.45;1.34;0.09;0.27
467;"Clemens Riedel";"Espanyol";20;1405;0;1;0.11;0.18;0.01;0.01
492;"Antoniu Roca";"Espanyol";13;262;0;0;0.22;0.19;0.08;0.06
596;"Lluc Castell";"Espanyol";1;15;0;0;0;0;0;0
407;"Urko Gonzalez";"Espanyol,Real Sociedad";36;2615;0;1;0.63;0.34;0.02;0.01
48;"Mauro Arambarri";"Getafe";37;3279;6;2;8.08;0.98;0.22;0.03
52;"Martín Satriano";"Getafe";18;1609;6;1;4.71;2.49;0.26;0.14
73;"Borja Mayoral";"Getafe";16;1072;4;1;3.49;0.56;0.29;0.05
110;"Adrián Liso";"Getafe";28;1725;3;0;2.76;0.15;0.14;0.01
112;"Luis Vázquez";"Getafe";17;1232;3;1;2.67;0.17;0.2;0.01
151;"Mario Martín";"Getafe";35;2158;2;1;2.95;0.92;0.12;0.04
169;"Juanmi";"Getafe";8;152;1;0;0.14;0.06;0.08;0.03
187;"Kiko Femenía";"Getafe";28;2070;1;1;0.96;1.92;0.04;0.08
213;"Domingos Duarte";"Getafe";34;2953;1;1;0.83;0.91;0.03;0.03
222;"Luis Milla";"Getafe";37;3288;1;10;1.47;6.84;0.04;0.19
227;"Juan Iglesias";"Getafe";37;3189;1;2;1.23;2;0.03;0.06
258;"Christantus Uche";"Getafe";3;270;1;1;1.44;0.64;0.48;0.21
283;"Zaid Romero";"Getafe";15;1350;1;0;1.01;0.09;0.07;0.01
296;"Nyom";"Getafe";15;522;0;1;0.13;1.12;0.02;0.19
321;"David Soria";"Getafe";38;3420;0;0;0;0.05;0;0
336;"Javi Muñoz";"Getafe";17;527;0;0;0.33;0.26;0.06;0.04
341;"Diego Rico";"Getafe";28;1723;0;0;0.29;0.88;0.02;0.05
354;"Djené Dakonam";"Getafe";34;2601;0;0;0.07;0.22;0;0.01
374;"Alex Sola";"Getafe";1;10;0;0;0;0;0;0
402;"Yvan Neyou";"Getafe";5;49;0;0;0;0;0;0
416;"Abdelkabir Abqar";"Getafe";23;1479;0;2;0.39;0.74;0.02;0.04
440;"Abu Kamara";"Getafe";12;210;0;0;0.42;0.1;0.18;0.04
448;"Veljko Birmancevic";"Getafe";6;129;0;0;0.06;0.11;0.04;0.08
499;"Coba da Costa";"Getafe";14;318;0;0;0.23;0.08;0.07;0.02
511;"Ismael Bekhoucha";"Getafe";4;106;0;1;0.03;0.72;0.02;0.61
519;"Hugo Solozabal";"Getafe";1;4;0;0;0;0;0;0
537;"Davinchi";"Getafe";14;688;0;0;0.2;0.06;0.03;0.01
538;"Joselu Pérez";"Getafe";2;16;0;0;0.01;0;0.08;0
554;"Alex Sancris";"Getafe";18;693;0;1;0.4;1;0.05;0.13
563;"Jorge Montes";"Getafe";1;24;0;0;0;0;0;0
575;"Alejandro Mestanza";"Getafe";3;68;0;0;0.02;0;0.02;0
585;"Sebastián Boselli";"Getafe";11;356;0;0;0.4;0.28;0.1;0.07
597;"Damián Cáceres";"Getafe";3;150;0;0;0;0;0;0
30;"Vladyslav Vanat";"Girona";27;2003;9;1;9.5;2.1;0.43;0.09
55;"Viktor Tsygankov";"Girona";32;2672;6;5;7.31;4.26;0.25;0.14
61;"Cristhian Stuani";"Girona";21;359;5;0;5.82;0.13;1.46;0.03
67;"Azz-Eddine Ounahi";"Girona";24;1777;5;2;3.85;5.44;0.19;0.28
92;"Thomas Lemar";"Girona";27;1252;3;1;1.77;1.38;0.13;0.1
106;"Joel Roca";"Girona";32;1463;3;1;4.52;1.95;0.28;0.12
148;"Arnau Martinez";"Girona";35;2715;2;3;2.12;2.7;0.07;0.09
185;"Axel Witsel";"Girona";32;2546;1;2;2.59;2.22;0.09;0.08
256;"Hugo Rincón";"Girona";33;1713;1;1;0.69;1.33;0.04;0.07
264;"Vitor Reis";"Girona";36;3137;1;1;1.97;0.87;0.06;0.02
269;"Claudio Echeverri";"Girona";17;606;1;1;2.12;1.09;0.31;0.16
295;"Daley Blind";"Girona";31;2624;0;0;0.26;0.74;0.01;0.03
300;"Paulo Gazzaniga";"Girona";35;3102;0;0;0;0;0;0
306;"David López";"Girona";5;300;0;0;0.65;0;0.2;0
307;"Marc-André ter Stegen";"Girona";2;180;0;0;0;0;0;0
335;"Álex Moreno";"Girona";31;2554;0;3;1.57;2.92;0.06;0.1
352;"Portu";"Girona";10;463;0;0;1.67;0.19;0.33;0.04
371;"Bryan Gil Salvatierra";"Girona";29;1607;0;3;3.14;3.63;0.18;0.2
377;"Iván Martín";"Girona";35;2558;0;1;1.11;2.18;0.04;0.08
378;"Abel Ruiz";"Girona";9;168;0;0;0.29;0.13;0.16;0.07
406;"Donny van de Beek";"Girona";2;37;0;0;0.08;0;0.19;0
455;"Dawda Camara";"Girona";2;73;0;0;0.16;0.07;0.2;0.09
469;"Jhon Solis";"Girona";12;362;0;0;0.18;0.06;0.05;0.02
483;"Ladislav Krejcí";"Girona";2;180;0;0;0.12;0;0.06;0
484;"Alejandro Francés";"Girona";24;1077;0;2;0.66;1.44;0.06;0.12
496;"Bojan Miovski";"Girona";1;44;0;0;0;0;0;0
497;"Yáser Asprilla";"Girona";15;601;0;0;0.56;1.78;0.08;0.27
514;"Vladyslav Krapyvtsov";"Girona";2;136;0;0;0;0;0;0
555;"Lancinet Kourouma";"Girona";5;23;0;0;0;0;0;0
570;"Juan Arango";"Girona";2;14;0;0;0;0;0;0
372;"Yangel Herrera";"Girona,Real Sociedad";14;638;0;0;0.69;0.05;0.1;0.01
16;"Carlos Espí";"Levante";25;1328;11;0;9.88;0.69;0.67;0.05
41;"Iván Romero";"Levante";32;2339;7;1;9.59;2.89;0.37;0.11
99;"Iker Losada";"Levante";23;882;3;1;2.14;0.53;0.22;0.05
105;"Adrián De la Fuente";"Levante";33;2704;3;1;4.29;1.41;0.14;0.05
107;"Carlos Álvarez";"Levante";30;1910;3;1;2.65;4.6;0.12;0.22
111;"Kervin Arriaga";"Levante";27;1511;3;3;1.09;1.16;0.06;0.07
133;"Víctor García";"Levante";21;1065;2;1;1.91;1.77;0.16;0.15
168;"Jeremy Toljan";"Levante";37;3199;1;4;0.85;4.97;0.02;0.14
175;"Morales";"Levante";20;298;1;1;2.51;1.1;0.76;0.33
211;"Manuel Sánchez";"Levante";33;2844;1;2;1.21;1.99;0.04;0.06
219;"Pablo Martínez";"Levante";27;1878;1;5;1.92;5.48;0.09;0.26
228;"Jon Ander Olasagasti";"Levante";33;1712;1;5;2.13;4.48;0.11;0.24
254;"Alan Matturro";"Levante";19;918;1;1;0.94;1.2;0.09;0.12
263;"Goduine Koyalipou";"Levante";11;217;1;0;1.27;0.36;0.52;0.15
270;"Unai Elgezabal";"Levante";12;963;1;0;0.62;0.13;0.06;0.01
271;"Roger Brugué";"Levante";19;1008;1;1;4.38;0.84;0.39;0.07
319;"Mat Ryan";"Levante";36;3240;0;0;0.09;0;0;0
359;"Diego Pampín";"Levante";8;526;0;0;0.13;0.1;0.02;0.02
394;"Unai Vencedor";"Levante";16;837;0;0;0;1.51;0;0.16
397;"Sergio Lozano";"Levante";1;7;0;0;0;0;0;0
405;"Oriol Rey";"Levante";20;1316;0;1;0.35;0.26;0.02;0.02
417;"Pablo Cuñat";"Levante";2;180;0;0;0;0;0;0
439;"Ugo Raghouber";"Levante";16;705;0;0;0.08;0.17;0.01;0.02
500;"Matías Moreno";"Levante";28;2265;0;0;1.27;0.68;0.05;0.03
533;"Jorge Cabello";"Levante";5;367;0;0;0;0;0;0
534;"Paco Cortés";"Levante";12;456;0;0;0.54;1.02;0.11;0.2
535;"Nacho Pérez";"Levante";3;147;0;0;0;0.2;0;0.12
573;"Kareem Tunde";"Levante";21;1183;0;1;1.29;0.63;0.1;0.05
588;"Tai Abed";"Levante";7;68;0;0;0.16;0.39;0.22;0.52
42;"Etta Eyong";"Levante,Villarreal";33;1657;7;4;11.02;2.82;0.6;0.15
2;"Vedat Muriqi";"Mallorca";37;3150;23;1;21.63;2.49;0.62;0.07
43;"Samú Costa";"Mallorca";34;2731;7;2;4.28;1.98;0.14;0.07
85;"Pablo Torre";"Mallorca";35;1614;4;4;2.81;2.95;0.16;0.16
94;"Manuel Morlanes";"Mallorca";32;1801;3;0;1.65;1.41;0.08;0.07
118;"Omar Mascarell";"Mallorca";30;2251;2;2;0.37;0.61;0.01;0.02
150;"Mateo Joseph";"Mallorca";29;1707;2;3;5.4;1.59;0.28;0.08
165;"Jan Virgili";"Mallorca";31;1807;2;4;2.59;3.77;0.13;0.19
170;"Pablo Maffeo";"Mallorca";31;2690;1;2;0.3;1.76;0.01;0.06
184;"Sergi Darder";"Mallorca";38;2715;1;5;2.26;5.54;0.07;0.18
194;"Takuma Asano";"Mallorca";20;662;1;0;2.24;1.02;0.3;0.14
217;"Mateu Morey";"Mallorca";18;723;1;0;0.18;0.52;0.02;0.06
324;"Toni Lato";"Mallorca";12;601;0;1;0;0.49;0;0.07
329;"Raíllo";"Mallorca";24;2069;0;1;0.63;0.36;0.03;0.02
358;"Johan Mojica";"Mallorca";35;2723;0;4;0.81;3.93;0.03;0.13
361;"Marash Kumbulla";"Mallorca";8;434;0;0;0.09;0.02;0.02;0
383;"Martin Valjent";"Mallorca";37;3311;0;0;0.97;0.14;0.03;0
384;"Dani Rodríguez";"Mallorca";2;56;0;0;0.02;0;0.04;0
390;"Abdón Prats";"Mallorca";15;92;0;0;0.7;0.11;0.68;0.11
428;"Leo Román";"Mallorca";33;2970;0;0;0;0;0;0
430;"Antonio Sánchez";"Mallorca";30;1016;0;0;0.53;1.06;0.05;0.09
436;"Javi Llabrés";"Mallorca";16;147;0;0;0.31;0.04;0.19;0.03
438;"Zito";"Mallorca";10;511;0;2;0.97;1;0.17;0.18
459;"Justin-Noel Kalumba";"Mallorca";3;81;0;0;0.06;0;0.07;0
463;"Lucas Bergström";"Mallorca";5;450;0;0;0;0;0;0
470;"David López";"Mallorca";14;827;0;0;0.18;0;0.02;0
490;"Marc Domenech";"Mallorca";7;198;0;1;0.12;0.5;0.05;0.23
495;"Jan Salas";"Mallorca";2;6;0;0;0;0;0;0
556;"Javier Olaizola";"Mallorca";2;44;0;0;0;0;0;0
598;"Miguel Calatayud";"Mallorca";2;34;0;0;0.03;0;0.07;0
599;"Luis Orejuela";"Mallorca";1;90;0;0;0.05;0;0.05;0
3;"Ante Budimir";"Osasuna";37;2995;17;0;19.19;1.71;0.58;0.05
